scenarios,locs,techs,carriers,units,flow_out_sum,aliases
8,PRT,biofuel_boiler,heat,megajoule,1126956134.8773916,biofuel_boiler__heat___PRT
8,PRT,biofuel_supply,biofuel,kilogram,4996436411.753602,biofuel_supply__biofuel___PRT
8,PRT,biofuel_to_diesel,diesel,kilogram,110153055.0849715,biofuel_to_diesel__diesel___PRT
8,PRT,biofuel_to_methane,methane,cubic meter,245114724.9390836,biofuel_to_methane__methane___PRT
8,PRT,biofuel_to_methanol,methanol,kilogram,767305454.1490158,biofuel_to_methanol__methanol___PRT
8,PRT,ccgt,electricity,kilowatt hour,13527749.2167937,ccgt__electricity___PRT
8,PRT,chp_biofuel_extraction,electricity,kilowatt hour,202751279.95265952,chp_biofuel_extraction__electricity___PRT
8,PRT,chp_methane_extraction,electricity,kilowatt hour,81243837.20916729,chp_methane_extraction__electricity___PRT
8,PRT,chp_wte_back_pressure,electricity,kilowatt hour,579047319.5900396,chp_wte_back_pressure__electricity___PRT
8,ESP,el_import,electricity,kilowatt hour,13633424474.541409,el_import__electricity___ESP
8,PRT,existing_pv,electricity,kilowatt hour,1671217200.8445504,existing_pv__electricity___PRT
8,PRT,existing_wind,electricity,kilowatt hour,16944286201.972027,existing_wind__electricity___PRT
8,PRT,heat_storage_big,heat,unit,21076076.5910584,heat_storage_big__heat___PRT
8,PRT,heat_storage_small,heat,unit,2617273899.6797557,heat_storage_small__heat___PRT
8,PRT,hydro_reservoir,electricity,kilowatt hour,7067969985.222586,hydro_reservoir__electricity___PRT
8,PRT,hydro_run_of_river,electricity,kilowatt hour,8584409377.758384,hydro_run_of_river__electricity___PRT
8,PRT,methane_boiler,heat,megajoule,381225888.9155639,methane_boiler__heat___PRT
8,PRT,methane_storage,methane,unit,5744.6773108748375,methane_storage__methane___PRT
8,PRT,open_field_pv,electricity,kilowatt hour,14544736900.68748,open_field_pv__electricity___PRT
8,PRT,pumped_hydro,electricity,kilowatt hour,3933078795.9520664,pumped_hydro__electricity___PRT
8,PRT,roof_mounted_pv,electricity,kilowatt hour,87952171.57888663,roof_mounted_pv__electricity___PRT
8,PRT,waste_supply,waste,kilowatt hour,2572235100.6303444,waste_supply__waste___PRT
8,PRT,wind_offshore,electricity,kilowatt hour,264615215.12035817,wind_offshore__electricity___PRT
8,PRT,wind_onshore,electricity,kilowatt hour,90984253968.86992,wind_onshore__electricity___PRT
9,PRT,battery,electricity,kilogram,1089403533.4971206,battery__electricity___PRT
9,PRT,biofuel_boiler,heat,megajoule,1853716647.351335,biofuel_boiler__heat___PRT
9,PRT,biofuel_supply,biofuel,kilogram,3570055370.691532,biofuel_supply__biofuel___PRT
9,PRT,biofuel_to_diesel,diesel,kilogram,117568211.95048149,biofuel_to_diesel__diesel___PRT
9,PRT,biofuel_to_methane,methane,cubic meter,244430637.5768902,biofuel_to_methane__methane___PRT
9,PRT,biofuel_to_methanol,methanol,kilogram,768507202.3582321,biofuel_to_methanol__methanol___PRT
9,PRT,ccgt,electricity,kilowatt hour,13116152.8382295,ccgt__electricity___PRT
9,PRT,chp_biofuel_extraction,electricity,kilowatt hour,235552792.87898389,chp_biofuel_extraction__electricity___PRT
9,PRT,chp_methane_extraction,electricity,kilowatt hour,89923123.026434,chp_methane_extraction__electricity___PRT
9,PRT,chp_wte_back_pressure,electricity,kilowatt hour,579512658.0223736,chp_wte_back_pressure__electricity___PRT
9,ESP,el_import,electricity,kilowatt hour,16588500460.893507,el_import__electricity___ESP
9,PRT,existing_pv,electricity,kilowatt hour,1649967536.120324,existing_pv__electricity___PRT
9,PRT,existing_wind,electricity,kilowatt hour,16819442207.1963,existing_wind__electricity___PRT
9,PRT,heat_storage_big,heat,unit,22434566.914559796,heat_storage_big__heat___PRT
9,PRT,heat_storage_small,heat,unit,2021192668.4220726,heat_storage_small__heat___PRT
9,PRT,hydro_reservoir,electricity,kilowatt hour,6971779409.970825,hydro_reservoir__electricity___PRT
9,PRT,hydro_run_of_river,electricity,kilowatt hour,8440252555.348951,hydro_run_of_river__electricity___PRT
9,PRT,methane_boiler,heat,megajoule,454972815.6748056,methane_boiler__heat___PRT
9,PRT,methane_storage,methane,unit,5719.05306401016,methane_storage__methane___PRT
9,PRT,open_field_pv,electricity,kilowatt hour,9784316364.438961,open_field_pv__electricity___PRT
9,PRT,pumped_hydro,electricity,kilowatt hour,3852134175.424113,pumped_hydro__electricity___PRT
9,PRT,roof_mounted_pv,electricity,kilowatt hour,71971934.4294901,roof_mounted_pv__electricity___PRT
9,PRT,waste_supply,waste,kilowatt hour,2572228220.258332,waste_supply__waste___PRT
9,PRT,wind_offshore,electricity,kilowatt hour,404895521.4021631,wind_offshore__electricity___PRT
9,PRT,wind_onshore,electricity,kilowatt hour,97079921540.77028,wind_onshore__electricity___PRT
10,PRT,battery,electricity,kilogram,1263655331.7992241,battery__electricity___PRT
10,PRT,biofuel_boiler,heat,megajoule,2255052425.615706,biofuel_boiler__heat___PRT
10,PRT,biofuel_supply,biofuel,kilogram,3577055187.521227,biofuel_supply__biofuel___PRT
10,PRT,biofuel_to_diesel,diesel,kilogram,122246718.21208538,biofuel_to_diesel__diesel___PRT
10,PRT,biofuel_to_methane,methane,cubic meter,244561385.91377515,biofuel_to_methane__methane___PRT
10,PRT,biofuel_to_methanol,methanol,kilogram,768338754.8144597,biofuel_to_methanol__methanol___PRT
10,PRT,ccgt,electricity,kilowatt hour,16193393.8036441,ccgt__electricity___PRT
10,PRT,chp_biofuel_extraction,electricity,kilowatt hour,310696402.9449938,chp_biofuel_extraction__electricity___PRT
10,PRT,chp_methane_extraction,electricity,kilowatt hour,110884754.54450041,chp_methane_extraction__electricity___PRT
10,PRT,chp_wte_back_pressure,electricity,kilowatt hour,581808894.1054603,chp_wte_back_pressure__electricity___PRT
10,ESP,el_import,electricity,kilowatt hour,15275645994.0824,el_import__electricity___ESP
10,PRT,existing_pv,electricity,kilowatt hour,1658227941.3822417,existing_pv__electricity___PRT
10,PRT,existing_wind,electricity,kilowatt hour,16877428323.37144,existing_wind__electricity___PRT
10,PRT,heat_storage_big,heat,unit,26672213.247150563,heat_storage_big__heat___PRT
10,PRT,heat_storage_small,heat,unit,2625697937.11127,heat_storage_small__heat___PRT
10,PRT,hydro_reservoir,electricity,kilowatt hour,7063163253.818877,hydro_reservoir__electricity___PRT
10,PRT,hydro_run_of_river,electricity,kilowatt hour,8527669306.223231,hydro_run_of_river__electricity___PRT
10,PRT,methane_boiler,heat,megajoule,569582678.1529253,methane_boiler__heat___PRT
10,PRT,methane_storage,methane,unit,5679.514209694535,methane_storage__methane___PRT
10,PRT,open_field_pv,electricity,kilowatt hour,4733036558.746284,open_field_pv__electricity___PRT
10,PRT,pumped_hydro,electricity,kilowatt hour,4842344776.785965,pumped_hydro__electricity___PRT
10,PRT,roof_mounted_pv,electricity,kilowatt hour,144203929.53065225,roof_mounted_pv__electricity___PRT
10,PRT,waste_supply,waste,kilowatt hour,2572226941.400255,waste_supply__waste___PRT
10,PRT,wind_offshore,electricity,kilowatt hour,789284097.2029389,wind_offshore__electricity___PRT
10,PRT,wind_onshore,electricity,kilowatt hour,103980449827.64287,wind_onshore__electricity___PRT
11,PRT,battery,electricity,kilogram,1763722740.2758753,battery__electricity___PRT
11,PRT,biofuel_boiler,heat,megajoule,457286893.9091675,biofuel_boiler__heat___PRT
